name,description,address,imageUrl,contactInfo,site,socialLinks,serviceTypes,bairro,regiao,site_status,redes_sociais_status,aceita_plano,acessibilidade,observacoes
Little TEA,"Clínica ABA / Interdisciplinar (psico, fono, TO)","Rua Vergueiro, 1421 - Torre Norte, Sala 1010 - Vila Mariana, São Paulo - SP, 04101-000",,(11) 98924-1939,https://www.littletea.com.br/,https://www.instagram.com/little_tea_sp/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Mariana,Zona Sul,Confirmado,Confirmado,,,Endereço e telefone conferem no site. IG com endereço na bio; handle corrigido (antes: littletea.clinica).
Genial Care • Unidade Paraíso (Vila Mariana),"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Vergueiro, 2.253 - 3º andar - Vila Mariana, São Paulo - SP, 04101-100",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Mariana (Paraíso),Zona Sul,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Genial Care • Unidade Morumbi (Vila Gertrudes),"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Av. das Nações Unidas, 13.797 - Bloco 2 - Conj. 12 e 16 - Vila Gertrudes, São Paulo - SP, 04794-000",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Gertrudes,Zona Sul,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Peróli Saúde,"Clínica multidisciplinar (ABA, fono, TO, fisio, neuropsicologia)","Av. Bosque da Saúde, 1546 – Vila da Saúde – São Paulo – SP, 04142-082",,(11) 5071-0332,https://www.perolisaude.com.br/,https://www.instagram.com/peroli_saude/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Fisioterapia, Psicologia, Neurologia",Vila da Saúde,Zona Sul,Confirmado,Confirmado,,,Endereço e telefone conferem na página de contato. IG validado no site e na bio; handle corrigido (antes: perolisaude).
Espaço Três Neuroreabilitação (Alto da Boa Vista),"Neuroreabilitação infantil (fono, TO, fisio; ABA)","Rua Conde de Itu, 622 - Alto da Boa Vista, São Paulo - SP, 04741-001",,(11) 5687-0581,https://www.espacotres.com.br/,https://www.instagram.com/espacotresneuro/,"Clínica de reabilitação infantil, ABA, Fonoaudiologia, Terapia Ocupacional, Fisioterapia, Neurologia",Alto da Boa Vista,Zona Sul,ok,ok,,,"Site oficial encontrado, mas endereço/telefone não visíveis na página principal; checar página de contato."
Albano's • Unidade ABA (Santo Amaro),Clínica especializada em ABA,"Av. Washington Luís, 1930 - Santo Amaro, São Paulo - SP, 04662-002",,(11) 2615-2720,https://clinicaalbanos.com.br/,https://www.instagram.com/clinicaalbanos/,ABA,Santo Amaro,Zona Sul,Confirmado,Confirmado,,,Endereço/telefone constam na página 'Contatos'.
Albano's • Unidade Convencional (Sabará),Clínica multidisciplinar (infantil),"Av. Nossa Senhora do Sabará, 710 - Jardim Bélgica, São Paulo - SP, 04673-170",,(11) 2615-2720,https://clinicaalbanos.com.br/,https://www.instagram.com/clinicaalbanos/,Clínica multidisciplinar,Jardim Bélgica,Zona Sul,Confirmado,Confirmado,,,Endereço/telefone constam na página 'Contatos'.
Genial Care • Unidade Anália Franco/Carrão,"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Antônio Camardo, 887 - Vila Gomes Cardim, São Paulo - SP, 03309-060",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Gomes Cardim (Anália Franco/Carrão),Zona Leste,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Genial Care • Unidade Tatuapé,"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Coronel Estevam Lopes de Camargo, 89 - Vila Moreira, São Paulo - SP, 03088-050",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Vila Moreira (Tatuapé),Zona Leste,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Instituto TEA • Unidade Anália Franco,"Clínica interdisciplinar (ABA, fono, fisio etc.)","Rua Dona Januária, 384 – Jardim Anália Franco, São Paulo – SP, 03336-055",,(11) 4305-0200,https://institutotea.com.br/,https://www.instagram.com/institutoteaoficial/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Fisioterapia",Jardim Anália Franco,Zona Leste,Confirmado,Confirmado,,,Endereço e telefone conferem no site.
Sabiamente Clínica Interdisciplinar (Tatuapé),"Clínica interdisciplinar (ABA, psicopedagogia, TO, psicologia)","Rua Cantagalo, 678 – Tatuapé – São Paulo/SP – 03319-000",,(11) 2671-1747,https://clinicasabiamente.com.br/,https://www.instagram.com/clinicasabiamente/,"Clínica multidisciplinar, ABA, Terapia Ocupacional, Psicologia, Psicopedagogia",Tatuapé,Zona Leste,Confirmado,Confirmado,,,Serviços e contato confirmados no site.
Parentea (Tatuapé),Clínica multidisciplinar (infantil),"R. Padre Estevão Pernet, 718 - Cj 311, Tatuapé, São Paulo - SP, 03315-000",,(11) 2094-6003,https://www.parentea.com.br/,https://www.instagram.com/parenteaclinica/,Clínica multidisciplinar,Tatuapé,Zona Leste,Confirmado,Confirmado,,,Endereço e telefone conferem nas páginas internas. Página do Facebook também existente: facebook.com/parentea.aba
Núcleo Interdisciplinar Luipe Buoro (Vila Ré),Clínica interdisciplinar (infantil),"R. Santo Henrique, 226 - Vila Ré, São Paulo - SP, 03664-010",,(11) 3596-9650,https://luipebuoro.com.br/,https://www.instagram.com/luipe___/,Clínica multidisciplinar,Vila Ré,Zona Leste,Dúvida - verificar,ok,,,Site oficial publicado; confirmar endereço/telefone no site.
Allegro Espaço Multidisciplinar (Tatuapé),Clínica multidisciplinar (infantil),"R. Frutuoso da Costa, 44 - Tatuapé, São Paulo - SP",,,https://allegroespacomulti.com.br/,https://www.instagram.com/allegroespacomulti/,Clínica multidisciplinar,Tatuapé,Zona Leste,Dúvida - verificar,ok,,,Site no ar; confirmar telefone/endereço na página de contato.
Genial Care • Unidade Pinheiros,"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Teodoro Sampaio, 1.756 - 2° andar - Pinheiros, São Paulo - SP, 05406-150",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Pinheiros,Zona Oeste,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
Reab Kids – Clínica de Reabilitação Infantil (Vila Leopoldina),"Reabilitação infantil (Fono, Fisio, TO, Psicologia)","Av. Imperatriz Leopoldina, 1248, 10º andar, sala 1003 – Vila Leopoldina – São Paulo – SP, 05305-002",,(11) 3796-0137,https://www.reabkids.com.br/,https://www.instagram.com/reabkids/,"Clínica de reabilitação infantil, Fonoaudiologia, Terapia Ocupacional, Fisioterapia, Psicologia",Vila Leopoldina,Zona Oeste,Confirmado,Confirmado,,Acesso com elevador/infraestrutura de acessibilidade,Endereço e telefone confirmados na página de contato.
Instituto Funcionalitá (Pinheiros),"Clínica interdisciplinar (neuro, fono, fisio, TO)","Rua Oscar Freire, 2250 - Conj. 116 e 117, Pinheiros, São Paulo - SP, 05409-012",,(11) 4750-1600,https://www.funcionalita.com.br/,,"Clínica multidisciplinar, Fonoaudiologia, Terapia Ocupacional, Fisioterapia, Neurologia",Pinheiros,Zona Oeste,Confirmado,Não encontrado,,,Endereço e telefone constam no site.
Espaço Lumi (Pinheiros),Fonoaudiologia (comunicação infantil),"R. Joaquim Antunes, 490 - sala 75, Pinheiros, São Paulo - SP",,(11) 99560-3078,https://espacolumi.com.br/,https://www.instagram.com/oespacolumi/,Fonoaudiologia,Pinheiros,Zona Oeste,Confirmado,Confirmado,,,Endereço e telefone informados na página 'Sobre'. Linktree mantido como recurso adicional: linktr.ee/oespacolumi
Genial Care • Unidade Santana/Limão,"Rede multidisciplinar (Psicologia ABA, Fono, TO)","Rua Samaritá, 1.117 - 4° andar - Jardim das Laranjeiras, São Paulo - SP, 02518-080",,,https://genialcare.com.br/,https://www.instagram.com/genialcare/,"Clínica multidisciplinar, ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia",Jardim das Laranjeiras,Zona Norte,Confirmado,Confirmado,,,Endereços oficiais listados na página de endereços.
ABA Terapias (Tremembé/Tucuruvi),"Clínica ABA (psicologia, fono, TO, psicopedagogia)","Av. Nova Cantareira, 5068 – Tremembé/Tucuruvi – São Paulo – SP, 02340-002",,(11) 95640-5045,https://www.abaterapias.com.br/,https://www.instagram.com/aba_terapias_/,"ABA, Fonoaudiologia, Terapia Ocupacional, Psicologia, Psicopedagogia",Tremembé/Tucuruvi,Zona Norte,Confirmado,Confirmado,,,Telefone e endereço confirmados na página de contato.
Centro TEA Paulista (Estadual),Centro público de apoio TEA (gratuito),"Rua Galileo Emendabili, 99 – Jardim Humaitá – São Paulo – SP",,156,https://www.pessoacomdeficiencia.sp.gov.br/centro-tea-paulista/,,"Centro público, Terapia Ocupacional",Jardim Humaitá (Vila Leopoldina),Zona Oeste,Confirmado,Não encontrado,,,Página oficial do Governo do Estado de SP.
